,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_spend,estimated_spend,estimated_spend,estimated_spend,estimated_spend,estimated_spend
,count,mean,min,max,std,median,count,mean,min,max,std,median,count,mean,min,max,std,median
page_id,,,,,,,,,,,,,,,,,,
050d19baffb48ab0f86d4c199f2254c690241ab81e7d2faace6bbc242e100d6e,14,788929.3571428572,7500,1000001,419459.4573005389,1000001.0,14,570.4285714285714,499,1499,267.2612419124244,499.0,14,49.0,49,49,0.0,49.0
0514e71c4f6c65f2538b3caea1e734215758276383ec1cd30447c493009e5381,33,9868.181818181818,550,30000,11691.789441351957,3000.0,33,9120.212121212122,499,64999,13651.368007816964,4499.0,33,403.54545454545456,49,3749,746.2786464731644,149.0
0528c8be47563318e22084ded4a11cd0058c61bbdafdada91f0f4bc03a359c24,5,165000.0,75000,300000,123237.57543866237,75000.0,5,400499.0,2499,849999,321813.22222680657,374999.0,5,6609.0,49,12499,4487.259742872035,7499.0
052aed7aded2d01d28748bf7ecc77589981664161e16f9890dd486fea7804793,1,1000001.0,1000001,1000001,,1000001.0,1,1499.0,1499,1499,,1499.0,1,49.0,49,49,,49.0
0534a25c926561b7290386602ebf9070868b6d3335905225d11912995ffffe5b,1,1000001.0,1000001,1000001,,1000001.0,1,22499.0,22499,22499,,22499.0,1,149.0,149,149,,149.0
0537af4a1d9210cf59cc5a528c4901c2a1529130dd0b8087b9a761d3542fe326,3,300000.0,300000,300000,0.0,300000.0,3,16499.0,4499,27499,11532.562594670795,17499.0,3,382.3333333333333,149,549,208.16659994661327,449.0
053cbe727b443bcff7c07a87ec5db2acaed339326ee431df64a1c4a37291ed81,26,1000001.0,1000001,1000001,0.0,1000001.0,26,14075.923076923076,1499,64999,18473.59862489835,6499.0,26,49.0,49,49,0.0,49.0
0541fc1aaaf75ed8f94dfab58954ddea60c98d3e095cf43abd3178e80e260d82,576,752592.1770833334,550,1000001,384143.27172427863,1000001.0,576,22062.371527777777,499,1000000,70679.21838123094,4499.0,576,714.1041666666666,49,42499,2674.918477018626,149.0
0545a128ac2e3ceedf0171a570704ebb7b33bacfd53e73dea23688fce29f260e,168,1000001.0,1000001,1000001,0.0,1000001.0,168,2632.9285714285716,499,74999,7945.637377591855,499.0,168,69.83333333333333,49,1249,114.7004255648186,49.0
0545efac01b1d4f72095fa2a4568710189810ee7524dad324331753eeb00e0c6,1,750000.0,750000,750000,,750000.0,1,1000000.0,1000000,1000000,,1000000.0,1,74999.0,74999,74999,,74999.0
05472ac15a9506d0f3f125fdca2bb98a7f9c0829b49122a1f4f0489d99a61435,1,30000.0,30000,30000,,30000.0,1,6499.0,6499,6499,,6499.0,1,49.0,49,49,,49.0
056758645ab7568e29369da8300dac8eaea76ad92c508609c945b3f8ec34e3f0,1,1000001.0,1000001,1000001,,1000001.0,1,274999.0,274999,274999,,274999.0,1,749.0,749,749,,749.0
